ID,EQUIP_ID,CONNECTIVITYNODE_ID
TMP00049785,TMP00036516,-8227287
TMP00049786,TMP00036517,-8227286
TMP00049787,TMP00036518,-8227285
TMP00049788,TMP00036519,-8227295
TMP00049789,TMP00036520,-8227294
TMP00049790,TMP00036521,-8227293
TMP00049791,TMP00036522,-8227282
TMP00049792,TMP00036523,-8227281
TMP00049793,TMP00036524,-8227238
TMP00049794,TMP00036525,-8227237
TMP00049795,TMP00036526,-8227236
TMP00049796,TMP00036527,-7795653
TMP00049797,TMP00036528,-8225535
TMP00049798,TMP00036529,-7795646
TMP00049799,TMP00036530,-7795647
TMP00049800,TMP00036531,-7795645
TMP00049801,TMP00036532,-8225644
TMP00049802,TMP00036533,-8225531
TMP00049803,TMP00036534,-8225474
TMP00049804,TMP00036535,-8225133
TMP00049805,TMP00036536,-8225121
TMP00049806,TMP00036537,-8225120
TMP00049807,TMP00036538,-8225119
TMP00049808,TMP00036539,-8225118
TMP00049809,TMP00036540,-8225117
TMP00049810,TMP00036541,-8225116
TMP00049811,TMP00036542,-8225115
TMP00049812,TMP00036543,-8225114
TMP00049813,TMP00036544,-8225113
TMP00049814,TMP00036545,-8225112
TMP00049815,TMP00036546,-8225111
TMP00049816,TMP00036547,-8225104
TMP00049817,TMP00036548,-8225097
TMP00049818,TMP00036549,-8225096
TMP00049819,TMP00036550,-8225095
TMP00049820,TMP00036551,-8225088
TMP00049821,TMP00036552,-8225087
TMP00049822,TMP00036554,-8225079
TMP00049823,TMP00036555,-8225072
TMP00049825,TMP00036557,-8225070
TMP00049826,TMP00036558,-8225056
TMP00049827,TMP00036559,-8225055
TMP00049828,TMP00036560,-8225043
TMP00049829,TMP00036561,-8225042
TMP00049830,TMP00036562,-8225030
TMP00049831,TMP00036563,-8225023
TMP00049833,TMP00036565,-8225017
TMP00049835,TMP00036567,-8225010
TMP00049836,TMP00036568,-8225009
TMP00049837,TMP00036569,-8224917
TMP00049838,TMP00036570,-8224916
TMP00049839,TMP00036571,-8224915
TMP00049840,TMP00036572,-8224914
TMP00049841,TMP00036573,-8224908
TMP00049842,TMP00036574,-8224903
TMP00049843,TMP00036575,-8224902
TMP00049844,TMP00036576,-8224900
TMP00049845,TMP00036577,-8224899
TMP00049846,TMP00036578,-8224898
TMP00049847,TMP00036579,-8224897
TMP00049848,TMP00036580,-8224896
TMP00049849,TMP00036581,-8224895
TMP00049850,TMP00036582,-8224894
TMP00049851,TMP00036583,-8224893
TMP00049852,TMP00036584,-8224889
TMP00049853,TMP00036585,-8224888
TMP00049854,TMP00036586,-8224887
TMP00049855,TMP00036587,-8224886
TMP00049856,TMP00036588,-8224885
TMP00049857,TMP00036589,-8224988
TMP00049858,TMP00036590,-8224986
TMP00049859,TMP00036591,-8224973
TMP00049860,TMP00036592,-8224972
TMP00049861,TMP00036593,-8224967
TMP00049862,TMP00036594,-8224966
TMP00049863,TMP00036595,-8224961
TMP00049864,TMP00036596,-8224957
TMP00049865,TMP00036597,-8224956
TMP00049866,TMP00036598,-8224955
TMP00049867,TMP00036599,-8224954
