component,设备数量,非末端数量,馈线数量,馈线,power_source,feeder_trace
4433,1,1,1,TMP00000140,False,False
4434,1,1,1,TMP00000090,True,True
4440,1,1,1,TMP00000128,True,True
4446,2,2,1,TMP00000188,False,True
4465,1,1,1,TMP00000140,False,False
4467,2,1,1,TMP00000110,False,False
4487,1,1,1,TMP00000125,True,True
4491,1,1,1,TMP00000043,True,True
4506,1,1,1,TMP00000162,True,True
4525,1,1,1,TMP00000140,False,False
4529,1,1,1,TMP00000017,True,True
4537,1,1,1,TMP00000117,True,True
4539,2,1,1,TMP00000101,True,True
4540,1,1,1,TMP00000076,True,True
4547,2,1,1,TMP00000050,True,True
4550,1,1,1,TMP00000188,False,True
4560,1,1,1,TMP00000118,True,True
4561,1,1,1,TMP00000093,True,True
4564,1,1,1,TMP00000093,True,True
4566,1,1,1,TMP00000116,True,True
4567,1,1,1,TMP00000107,False,False
